Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
2001,19,Malmö,se SWE,1. Allsvenskan,9th,8,8,696,7.7,3,3,6,3,0,0,5,1,,,,,,,,0.39,0.39,0.78,0.39,0.78,,,,,
2001-2002,19,Ajax,nl NED,1. Eredivisie,1st,24,12,"1,286",14.3,6,3,9,6,0,0,2,0,,,,,,,,0.42,0.21,0.63,0.42,0.63,,,,,
2002-2003,20,Ajax,nl NED,1. Eredivisie,2nd,25,21,"1,806",20.1,13,2,15,13,0,0,0,0,,,,,,,,0.65,0.10,0.75,0.65,0.75,,,,,
2003-2004,21,Ajax,nl NED,1. Eredivisie,1st,22,16,"1,403",15.6,13,7,20,13,0,0,2,0,,,,,,,,0.83,0.45,1.28,0.83,1.28,,,,,
2004-2005,22,Ajax,nl NED,1. Eredivisie,2nd,3,3,252,2.8,3,1,4,3,0,0,1,0,,,,,,,,1.07,0.36,1.43,1.07,1.43,,,,,
2004-2005,22,Juventus,it ITA,1. Serie A,1st,35,31,"2,764",30.7,16,5,21,15,1,1,3,0,,,,,,,,0.52,0.16,0.68,0.49,0.65,,,,,
2005-2006,23,Juventus,it ITA,1. Serie A,20th,35,29,"2,402",26.7,7,6,13,7,0,0,4,0,,,,,,,,0.26,0.22,0.49,0.26,0.49,,,,,
2006-2007,24,Inter,it ITA,1. Serie A,1st,27,25,"2,156",24.0,15,7,22,15,0,1,6,2,,,,,,,,0.63,0.29,0.92,0.63,0.92,,,,,
2007-2008,25,Inter,it ITA,1. Serie A,1st,26,22,"1,964",21.8,17,8,25,9,8,8,5,0,,,,,,,,0.78,0.37,1.15,0.41,0.78,,,,,
2008-2009,26,Inter,it ITA,1. Serie A,1st,35,35,"3,133",34.8,25,7,32,23,2,4,8,0,,,,,,,,0.72,0.20,0.92,0.66,0.86,,,,,
2009-2010,27,Barcelona,es ESP,1. La Liga,1st,29,23,"2,040",22.7,16,6,22,14,2,2,5,1,,,,,,,,0.71,0.26,0.97,0.62,0.88,,,,,
2010-2011,28,Milan,it ITA,1. Serie A,1st,29,29,"2,530",28.1,14,11,25,11,3,4,8,2,,,,,,,,0.50,0.39,0.89,0.39,0.78,,,,,
2011-2012,29,Milan,it ITA,1. Serie A,2nd,32,32,"2,807",31.2,28,6,34,18,10,10,3,1,,,,,,,,0.90,0.19,1.09,0.58,0.77,,,,,
2012-2013,30,Paris S-G,fr FRA,1. Ligue 1,1st,34,33,"2,975",33.1,30,7,37,26,4,4,9,1,,,,,,,,0.91,0.21,1.12,0.79,1.00,,,,,
2013-2014,31,Paris S-G,fr FRA,1. Ligue 1,1st,33,32,"2,766",30.7,26,11,37,19,7,8,7,0,,,,,,,,0.85,0.36,1.20,0.62,0.98,,,,,
2014-2015,32,Paris S-G,fr FRA,1. Ligue 1,1st,24,23,"2,002",22.2,19,6,25,11,8,9,3,0,,,,,,,,0.85,0.27,1.12,0.49,0.76,,,,,
2015-2016,33,Paris S-G,fr FRA,1. Ligue 1,1st,31,29,"2,549",28.3,38,13,51,33,5,6,1,0,,,,,,,,1.34,0.46,1.80,1.17,1.62,,,,,
2016-2017,34,Manchester Utd,eng ENG,1. Premier League,6th,28,27,"2,438",27.1,17,5,22,15,2,3,7,0,,,,,,,,0.63,0.18,0.81,0.55,0.74,,,,,
2017-2018,35,Manchester Utd,eng ENG,1. Premier League,2nd,5,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,9,12,0.00,0.00,0.00,0.00,0.00,0.18,0.08,0.26,0.18,0.26
2018,36,LA Galaxy,us USA,1. MLS,13th,27,24,"2,142",23.8,22,6,28,18,4,4,5,1,15.7,12.6,4.7,17.3,51,123,191,0.92,0.25,1.18,0.76,1.01,0.66,0.20,0.86,0.53,0.73
2019,37,LA Galaxy,us USA,1. MLS,8th,29,29,"2,610",29.0,30,7,37,24,6,7,7,0,23.5,17.9,6.5,24.4,31,135,218,1.03,0.24,1.28,0.83,1.07,0.81,0.22,1.03,0.62,0.84
2019-2020,37,Milan,it ITA,1. Serie A,6th,18,16,"1,362",15.1,10,5,15,8,2,3,1,0,10.6,8.3,4.0,12.3,17,63,114,0.66,0.33,0.99,0.53,0.86,0.70,0.27,0.96,0.55,0.81
2020-2021,38,Milan,it ITA,1. Serie A,2nd,19,18,"1,493",16.6,15,2,17,12,3,6,2,1,16.2,11.9,1.8,13.7,31,61,116,0.90,0.12,1.02,0.72,0.84,0.98,0.11,1.08,0.72,0.82
2021-2022,39,Milan,it ITA,1. Serie A,1st,23,11,"1,016",11.3,8,2,10,8,0,1,2,0,7.2,6.4,2.1,8.5,13,50,99,0.71,0.18,0.89,0.71,0.89,0.64,0.18,0.82,0.57,0.75
2022-2023,40,Milan,it ITA,1. Serie A,4th,4,1,146,1.6,1,0,1,0,1,1,0,0,1.2,0.4,0.2,0.6,0,4,10,0.62,0.00,0.62,0.00,0.00,0.72,0.11,0.84,0.24,0.35
